N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"70,000",0,0.00%,100,"4,178,848","5,969,783",51.82,"7,481,552",12.12,13.92,
2,LG에너지솔루션,"366,500","24,500",-6.27%,500,"857,610","234,000",3.30,"1,886,942",92.48,10.68,
3,SK하이닉스,"116,500",500,-0.43%,"5,000","848,123","728,002",50.43,"2,925,104",10.53,9.53,
4,NAVER,"327,500","1,500",-0.46%,100,"537,261","164,049",54.78,"624,552",3.26,106.72,
5,삼성바이오로직스,"797,000","10,000",+1.27%,"2,500","527,335","66,165",10.50,"42,670",135.59,8.21,
6,삼성전자우,"62,800",500,-0.79%,100,"516,773","822,887",74.19,"1,163,699",10.87,N/A,
7,카카오,"103,500","2,000",+1.97%,100,"461,737","446,123",28.46,"3,404,404",40.75,2.70,
8,현대차,"164,000","5,000",-2.96%,"5,000","350,416","213,668",26.46,"1,014,020",N/A,2.04,
9,삼성SDI,"486,000","5,000",+1.04%,"5,000","334,196","68,765",43.57,"573,056",29.24,8.45,
10,LG화학,"456,500","15,500",-3.28%,"5,000","322,254","70,592",48.65,"545,083",9.74,18.47,
11,기아,"68,600","1,400",-2.00%,"5,000","278,079","405,363",34.58,"1,385,039",6.21,5.05,
12,POSCO,"286,500","4,500",+1.60%,"5,000","249,790","87,187",53.08,"251,493",3.77,13.97,
13,셀트리온,"179,500","6,500",+3.76%,"1,000","247,630","137,956",20.27,"1,391,410",43.88,15.81,
14,카카오뱅크,"49,750",850,+1.74%,"5,000","236,392","475,159",16.18,"1,381,788",161.00,5.08,
15,KB금융,"55,700",700,+1.27%,"5,000","229,680","412,352",72.32,"1,429,582",5.32,8.53,
16,삼성물산,"114,500",500,-0.43%,100,"213,986","186,887",15.99,"407,830",13.20,5.40,
17,LG전자,"122,500",500,+0.41%,"5,000","200,469","163,648",28.31,"769,830",17.67,13.23,
18,신한지주,"37,500",150,+0.40%,"5,000","193,725","516,600",62.08,"1,206,983",4.98,8.20,
19,현대모비스,"204,500","5,000",-2.39%,"5,000","193,402","94,573",34.19,"355,936",8.24,6.87,
20,SK이노베이션,"198,000","1,000",+0.51%,"5,000","183,082","92,466",23.08,"333,199",60.92,1.91,
21,카카오페이,"136,000","1,000",+0.74%,500,"179,750","132,169",42.50,"185,836",-676.62,-17.97,
22,SK,"237,500","9,500",-3.85%,200,"176,105","74,149",21.51,"146,109",27.76,1.11,
23,HMM,"34,450","1,450",+4.39%,"5,000","168,474","489,039",12.31,"10,613,721",4.34,8.93,
24,한국전력,"24,500",250,-1.01%,"5,000","157,281","641,964",14.81,"3,064,527",-14.44,2.91,
25,두산중공업,"23,350",100,+0.43%,"5,000","141,297","605,128",8.66,"19,960,817",70.33,-37.20,
26,하나금융지주,"46,400",150,-0.32%,"5,000","139,312","300,242",71.06,"1,066,123",4.33,8.96,
27,크래프톤,"281,500","3,500",-1.23%,100,"138,138","49,072",29.76,"154,382",22.06,61.86,
28,LG생활건강,"844,000","67,000",-7.35%,"5,000","131,818","15,618",41.43,"123,467",17.71,16.65,
29,SK텔레콤,"59,600","2,500",+4.38%,100,"130,425","218,833",45.48,"781,627",8.71,13.63,
30,삼성생명,"59,900",100,+0.17%,500,"119,800","200,000",12.61,"140,901",7.66,3.53,
31,하이브,"284,500",500,+0.18%,500,"117,650","41,353",15.04,"192,655",101.21,12.52,
32,LG,"72,200","1,400",-1.90%,"5,000","113,571","157,301",36.39,"161,799",4.76,7.50,
33,삼성전기,"152,000","3,500",-2.25%,"5,000","113,534","74,694",29.17,"673,453",13.22,14.29,
34,SK바이오사이언스,"148,000",0,0.00%,500,"113,220","76,500",5.26,"258,885",56.99,13.25,
35,KT&G,"81,000",800,+1.00%,"5,000","111,207","137,292",36.71,"327,771",9.34,13.22,
36,고려아연,"588,000","19,000",+3.34%,"5,000","110,956","18,870",18.84,"111,158",14.70,8.37,
37,삼성에스디에스,"139,000",500,-0.36%,500,"107,555","77,378",11.39,"66,394",17.60,8.80,
38,우리금융지주,"14,250",200,+1.42%,"5,000","103,749","728,061",34.24,"1,688,201",4.36,5.87,
39,현대중공업,"113,500","1,500",+1.34%,"5,000","100,757","88,773",2.65,"136,919",-12.39,-7.86,
40,대한항공,"28,600",0,0.00%,"5,000","99,477","347,821",12.10,"1,255,837",13.43,-7.22,
41,엔씨소프트,"443,000","9,000",-1.99%,500,"97,256","21,954",42.94,"142,498",27.35,20.83,
42,S-Oil,"85,000",600,+0.71%,"2,500","95,695","112,583",78.13,"378,213",8.18,-13.07,
43,넷마블,"106,000","2,000",-1.85%,100,"91,111","85,954",22.86,"162,696",39.20,6.35,
44,아모레퍼시픽,"154,000","13,500",-8.06%,500,"90,079","58,493",29.78,"653,627",59.39,0.78,
45,삼성화재,"184,000","1,500",-0.81%,500,"87,170","47,375",48.56,"70,008",7.95,4.96,
46,KT,"32,750",650,+2.02%,"5,000","85,514","261,112",39.78,"1,214,981",6.30,9.36,
47,LG이노텍,"340,000","11,000",-3.13%,"5,000","80,468","23,667",23.14,"473,065",9.06,30.94,
48,기업은행,"10,550",0,0.00%,"5,000","78,524","744,301",14.06,"559,429",3.90,6.44,
49,SK아이이테크놀로지,"108,000","3,500",-3.14%,"1,000","77,001","71,298",9.86,"439,314",77.53,5.57,
50,포스코케미칼,"97,800","3,200",-3.17%,500,"75,759","77,463",6.23,"537,761",54.61,2.96,
51,SK스퀘어,"52,100",700,+1.36%,100,"73,705","141,468",38.77,"660,734",N/A,N/A,
52,롯데케미칼,"201,500","1,500",+0.75%,"5,000","69,065","34,275",24.35,"177,244",5.07,1.22,
53,SK바이오팜,"88,100",800,+0.92%,500,"68,994","78,313",5.92,"115,987",-170.74,-135.18,
54,한화솔루션,"35,050",350,-0.99%,"5,000","67,043","191,278",18.39,"593,888",8.96,5.30,
55,LG디스플레이,"18,500",150,-0.80%,"5,000","66,196","357,816",16.98,"1,230,612",5.58,9.68,
56,한국조선해양,"93,200",400,-0.43%,"5,000","65,961","70,773",19.74,"125,277",-5.11,-7.42,
57,현대글로비스,"167,500","2,500",-1.47%,500,"62,812","37,500",43.11,"54,621",9.03,12.45,
58,한온시스템,"11,400",50,+0.44%,100,"60,853","533,800",17.47,"400,316",20.80,5.09,
59,LG유플러스,"13,900",450,+3.35%,"5,000","60,689","436,611",36.16,"1,502,320",8.52,9.47,
60,강원랜드,"27,500",200,-0.72%,500,"58,834","213,940",18.42,"1,006,038",-178.57,-7.92,
61,에스디바이오센서,"54,400",500,+0.93%,500,"56,180","103,271",11.29,"450,385",8.25,139.97,
62,현대건설,"49,550",150,+0.30%,"5,000","55,177","111,356",23.17,"1,274,247",32.95,1.84,
